사용월,호선명,지하철역,04시-05시 승차인원,04시-05시 하차인원,05시-06시 승차인원,05시-06시 하차인원,06시-07시 승차인원,06시-07시 하차인원,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,09시-10시 승차인원,09시-10시 하차인원,10시-11시 승차인원,10시-11시 하차인원,11시-12시 승차인원,11시-12시 하차인원,12시-13시 승차인원,12시-13시 하차인원,13시-14시 승차인원,13시-14시 하차인원,14시-15시 승차인원,14시-15시 하차인원,15시-16시 승차인원,15시-16시 하차인원,16시-17시 승차인원,16시-17시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원,21시-22시 승차인원,21시-22시 하차인원,22시-23시 승차인원,22시-23시 하차인원,23시-24시 승차인원,23시-24시 하차인원,00시-01시 승차인원,00시-01시 하차인원,01시-02시 승차인원,01시-02시 하차인원,02시-03시 승차인원,02시-03시 하차인원,03시-04시 승차인원,03시-04시 하차인원,작업일자
201901,1호선,동대문,621,7,15328,2164,10315,6673,14893,12227,24080,27692,23381,28386,20712,29569,22747,35954,28260,38658,31402,38011,34392,35395,34450,33461,34186,29483,34722,29805,33085,29970,22672,31274,18241,21650,16317,16942,13782,16009,7712,13475,1071,4691,3,35,0,0,0,0,20190203
201901,1호선,동묘앞,93,3,3326,832,3418,3433,6088,8945,9415,22873,8843,17002,9745,19744,14192,28601,20731,35160,27534,40084,36068,40068,41458,33617,40873,23502,37880,16292,28274,11369,12349,8521,7475,6051,6022,5914,4480,6355,2215,4516,235,3138,2,242,1,0,0,0,20190203
201901,1호선,서울역,927,22,10682,8774,13504,45545,39110,103863,80492,236747,61108,163026,68446,86198,89100,80051,98021,85869,101282,91792,86627,86386,113919,87211,118223,91594,161216,98032,249973,105075,142575,77807,97729,55056,96955,46680,70982,35481,33149,19442,3612,7167,0,410,0,0,0,0,20190203
201901,1호선,시청,74,0,2409,4049,3532,19241,7703,66876,9978,209349,12818,88793,16470,49343,22512,45645,26040,41405,34728,46800,40497,40429,51586,34787,54591,29029,80258,28534,170225,28331,76142,15634,57394,9141,58745,8204,38156,6345,14478,4079,981,1256,3,29,0,0,0,0,20190203
201901,1호선,신설동,287,18,8847,2242,9805,8507,20077,23708,30505,77052,21746,42215,19219,26352,23432,24639,25947,24205,28510,25266,28537,24194,30381,24152,32723,23766,43942,28965,74303,31156,31339,25953,19997,16735,17833,15825,13174,15675,5830,10702,593,2638,0,16,0,0,0,0,20190203
201901,1호선,제기동,316,8,4874,2284,8388,8242,22615,18537,34862,50424,24786,43146,27130,46347,38424,63325,49342,71837,58332,79114,66681,70456,75677,58388,72189,40292,58939,32726,54182,29402,27310,24217,18230,14579,12731,12853,9087,12449,3758,8308,258,1890,0,0,0,0,0,0,20190203
201901,1호선,종각,100,8,4409,5105,4593,26969,6733,104259,11028,300081,14563,167611,20165,80474,34617,76633,42088,71920,59893,75678,68149,62408,84211,57607,96197,55889,144446,63459,257735,83206,134259,51603,113555,19039,135586,12188,111743,8286,54264,5560,4886,1722,0,0,0,0,0,0,20190203
201901,1호선,종로3가,122,4,5061,2520,3876,12832,6066,29381,9735,84155,14261,100477,24063,87040,42723,96552,58902,101213,76615,103649,81392,88983,94128,72249,105094,61092,107194,56484,129847,62455,95225,37346,68613,14242,76067,10422,62004,7761,25970,5503,3214,2471,0,52,0,0,0,0,20190203
201901,1호선,종로5가,43,2,1934,3590,2935,14991,5143,40376,8509,132808,12652,78635,20434,62671,31918,69919,45533,72651,60255,69005,69651,63201,74447,54752,77646,48878,93779,42973,133826,40675,72550,24744,49690,10816,40800,7410,32727,5112,12013,3450,785,980,1,3,0,0,0,0,20190203
201901,1호선,청량리(서울시립대입구),1321,11,10844,2912,16911,12013,46015,20676,65427,42910,42110,41090,35796,41999,43937,55752,53733,64244,55751,73268,63486,72150,70997,65918,75642,56026,68623,57290,57624,65469,35155,53706,27840,31541,21510,28397,15223,29237,7191,19427,441,6495,0,0,0,0,0,0,20190203
